review_id,user_id,feature_name,review_text,rating,sentiment,issue_category,support_ticket_flag,app_version,timestamp
R000001,U007305,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,0,4.3.3,2024-10-23 17:16:00
R000002,U001912,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it!",5.0,positive,Positive Experience,0,4.4.1,2024-12-09 09:45:00
R000003,U008233,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,1,4.1.4,2024-08-20 06:52:00
R000004,U007119,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,0,4.5.0,2024-08-26 01:41:00
R000005,U003463,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.5.0,2024-11-13 05:39:00
R000006,U004868,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,0,4.4.3,2024-09-07 20:08:00
R000007,U007740,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,1,4.1.4,2024-10-02 14:43:00
R000008,U003986,Watch Party,"Watch party sometimes works, but loading is painfully slow. Highly disappointing.",2.0,negative,Crashes,1,4.3.2,2025-01-16 00:15:00
R000009,U001408,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it!",,positive,Positive Experience,0,4.1.0,2024-10-13 10:43:00
R000010,U010477,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,0,4.4.2,2025-02-10 03:18:00
R000011,U011458,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.5.0,2024-08-04 14:08:00
R000012,U008017,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,1,4.3.4,2025-01-19 20:04:00
R000013,U011325,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.1.2,2024-08-04 14:35:00
R000014,U011425,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,1,4.5.0,2024-09-07 15:28:00
R000015,U004039,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,1,4.5.2,2025-01-15 04:45:00
R000016,U007069,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,negative,Performance,0,4.3.1,2024-10-13 17:57:00
R000017,U011358,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,0,4.3.2,2024-12-16 20:01:00
R000018,U008937,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,1,4.2.4,2025-01-11 17:07:00
R000019,U006472,Watch Party,Works sometimes. Hoping they improve stability.,3.0,neutral,Too Many Steps,0,4.3.2,2025-02-01 07:59:00
